Batch,Company,Headquarters,Founders,Description,Sector,Website,Demo,
Fall,Circlemind,,"Antonio Vespoli, Luca Pinchetti, Yuhang Song",Circlemind is an open-source RAG using knowledge graphs and PageRank.,"Developer Tools, AI",https://circlemind.co/,https://youtu.be/pGYYnYxRUHw,
Fall,Coblocks,"New York, NY, USA","Nisola Shobayo, Kevin Schaich",Build data pipelines in minutes with AI,"Data Engineering, AI",https://coblocks.ai/,https://youtu.be/CwfKpDh-Zbw,
Fall,Codebuff,"San Francisco, CA, USA","Brandon Chen, James Grugett",The CLI tool that writes code for you,"Developer Tools, AI",https://codebuff.com/,,
Fall,CollectWise,,"Sean O'Brien, Vivek Isukapalli",Automating consumer debt collection with AI,"Fintech, Legaltech, AI",https://collectwise.com/,https://www.loom.com/share/15df08dce1ea492c911ee685aabf78e7?sid=61b9e65a-2229-4f52-be13-5d66d34ad5fb,
Fall,Consus,"San Francisco, CA, USA",Eric Magliarditi,Your single source of truth for government documents,"Governance, AI",https://consusindustries.co/,https://youtu.be/ouFe09NHTo4,
Fall,Crustdata,"San Francisco, CA, USA","Abhilash Chowdhary, Manmohit Grewal, Chris Pisarski",Real-time B2B data via simple APIs,"HR, Marketing, AI",https://crustdata.com/,https://youtu.be/TwUYDCrdLvk,
Fall,CTGT,"San Francisco, CA, USA","Cyril Gorlla, Trevor Tuttle",Entirely New AI Stack: Efficient and Safe Alternative to LLM Ecosystem,"Compliance, AI",https://ctgt.ai/,https://www.loom.com/share/7e4948fa0ccf4256b2f7036ee8d7baf4?sid=d0dcdfd4-c659-474c-aaa5-514857472b29,
Fall,Curo,"San Francisco, CA, USA","Andrew Porter, Kieran White",Electric fleets park and charge anywhere with Curo,"Transportation, Energy",https://curocharging.com/,https://youtu.be/N0jcdalLpFU,
Fall,Dexter,"Berlin, Germany","Bella Wu, Vincent Garrigues, Caterina Kiehntopf",AI workflow automation for field operations,"Operations, AI",https://getdexter.co/,https://youtu.be/8Ng79Oy8YUE,
Fall,Diffusion Studio,"San Francisco, CA, USA","Konstantin Paulus, Matthias Ruiz",Next Generation Canva for AI Video Editing in the Browser,"Design, AI",https://diffusion.studio/,https://youtu.be/FbMyfluvdYU,
Fall,Docflow,"San Francisco, CA, USA","Michael Mounajjed, Ben Liu",We build automated scheduling software for hospitals,"Healthcare, Scheduling, AI",https://mydocflow.com/,https://youtu.be/MQqcWuxvdio,
Fall,Ember Copilot,"San Francisco, CA, USA","Charlene Wang, Warren Wang",The only medical scribe that reduces claim denials by 55%,"Healthcare, AI",https://embercopilot.ai/,https://youtu.be/RUkosYD-FLQ,
Fall,Encore,"San Francisco, CA, USA","Alex Ruber, Parth Chopra",Conversational search and discovery for secondhand products,"E-commerce, Retail, AI",https://shopencore.ai/,https://youtu.be/nD7YIGvNa08,
Fall,Fabricate,,"Lucas Crupi, Ethan Breit",Procurement for Hardware Teams,"Supply Chain, Hardware, Manufacturing, AI",https://tryfabricate.com/,https://youtu.be/SYAAd9bGSlQ,
Fall,Fix AI,"San Francisco, CA, USA","Kesav Kosana, Arav Seth",AI agents that navigate websites like real users to find bugs,"Software Testing, Developer Tools, AI",https://tryfix.ai/,https://youtu.be/7K3jRZukH8E,
Fall,fixa,"San Francisco, CA, USA","Jonathan Liu, Oliver Wendell-Braly",sentry for AI voice agents,"Voice Technology, AI",https://fixa.dev/,https://youtu.be/Cnhf3Vs5Dcw,
Fall,Forerunner AI,"San Francisco, CA, USA","Yash Kadadi, Will Nida","Copilot for aerospace engineers making rockets, munitions, satellites","Aerospace, Engineering",https://tryforerunner.com/,https://youtu.be/0EsKdLXPFAs,
Fall,Foundry,"San Francisco, CA, USA","Manil Lakabi, Pranav Raja",Retool for AI Agents,"Developer Tools, Automation, AI",https://thefoundryai.com/,https://youtu.be/0nduYlyXaxw,
Fall,Fresco,"San Francisco, CA, USA","Arvind Veluvali, Akhil Gupta",AI copilot for construction superintendents,"Construction, AI",https://fresco-ai.com/,https://www.youtube.com/shorts/LOu3g9A6P2w?feature=share,
Fall,Friday,"San Francisco, CA, USA","Allen Naliath, Advait Paliwal",An assistant that understands your emails and handles them for you,"Productivity, AI",https://fridaymail.ai/,https://youtu.be/2Dq11hlJhqs,
Fall,Gait,"San Francisco, CA, USA","Alex Hsia, Kyle Li",Building Dev Infra for AI Software Engineers,"Developer Tools, AI",https://getgait.com/,https://youtu.be/GcQMSbYBS28,
Fall,Galini,"San Francisco, CA, USA","Shaun Ayrton, Raul Zablah",Compliance guardrails-as-a-service for AI applications,"Compliance, AI",https://galini.ai/,https://youtu.be/2luqEuXK-34,
Fall,Gander,"New York, NY, USA","Andrew Dixon, Arjan Guglani","LLMs For Aviation, Starting with Customer Service","Aviation, AI",https://usegander.com/,https://youtu.be/VC30v0dgt-I,
Fall,Gecko Security,"San Francisco, CA, USA","Artemiy Malyshau, Jeevan Jutla",The AI Security Engineer to Find and Fix Vulnerabilities,"Cybersecurity, AI",https://gecko.security/,https://youtu.be/ObuItEP3rZk,
Fall,Getcho,"New York, NY, USA","Jack Considine, Mike Considine, Evandro Nadal",The reliability platform for last-mile delivery,"Logistics, AI",https://getcho.app/,https://youtu.be/GFxJq_xekfI,
Fall,HealthSpark,"San Francisco, CA, USA","Stephen Grinich, Jonah Tuchow",Launch and run an AI-native physical therapy practice,"Healthcare, AI",https://joinhealthspark.com/,https://youtu.be/MT6gWvuPjM0,
Fall,Helpcare AI,"San Francisco, CA, USA","Huzaifa Sial, Ayush Tomar","AI Workers for Healthcare Orgs to Find, Call & Schedule More Patients","Healthcare, AI",https://helpcare.ai/,https://youtu.be/cWwsuSoAHgk,
Fall,HumanLayer,"San Francisco, CA, USA","Vaibhav Gupta, Dexter Horthy",Human-in-the-Loop for AI Agents,"Developer Tools, AI",https://humanlayer.dev/,https://youtu.be/5sbN8rh_S5Q,
Fall,HYBRD,"Boston, MA, USA","Ben Katz, Caroline ""Shoe"" Shoemaker, Matt Ruiters, Mats Terwiesch",Strava for the modern athlete,"Fitness, AI",https://hybrd.app/,https://youtu.be/ZBvnawK7If0,
Fall,Innate,"Palo Alto, CA, USA","Axel Peytavin, Vignesh Anand",Teachable general-purpose robots,"Robotics, AI",https://innate.bot/,https://youtu.be/hGK0lIGT49E,
Fall,ISSEN,"New York, NY, USA","Anton Apostolatos, Mariano Sorgente",AI realtime voice companion for language learning,"Education, AI",https://issen.com/,https://youtu.be/7sftLFew6eM,
Fall,Karmen,"San Francisco, CA, USA","Jonas Ebrahimi, Naman Wahi",AI Assistant for Construction Project Managers,"Construction, AI",https://karmenai.com/,https://youtu.be/YtrQeMM5Yps,
Fall,Keye,"New York, NY, USA","Rohan Parikh, Conor Brown, Lalit Lal",The Smartest Private Equity Investor,"Private Equity, AI",https://keye.co/,https://www.loom.com/share/ab97cda368214714a28a932dc6a8a494?sid=33dd6625-bb69-4dc4-a46d-5f22814940fa,
Fall,Lightscreen AI,"Sunnyvale, CA, USA","Prachie Banthia, Gavin Saldanha",Voice + video AI interviewer,"Recruitment, AI",https://lightscreen.ai/,https://youtu.be/mXRCfDuGpSA,
Fall,Lune AI,"San Francisco, CA, USA","Sam Park, Josh Park",Better GPT and Claude for coding,"Developer Tools, AI",https://lune.dev/,https://youtu.be/Zwokp23C3ek,
Fall,Luthor,,"Glenn Espinosa, John Espinosa",AI Copilot for Marketing Compliance,"Marketing, Compliance, AI",https://luthor.ai/,https://youtu.be/3iyKloVbA4k,
Fall,Melder,"New York, NY, USA","Ashwin Dharne, Phil Brewer",AI Data Integration for Supply Chain,"Supply Chain, Procurement, AI",https://melder.io/,https://youtu.be/4QDDmMWchmw,
Fall,Metreecs,,"Martin Dimitrov, Elie Dufeu, Thibaut Pellegrin",AI-powered demand forecasting for retail,"Retail, AI",https://www.metreecs.com/,,
Fall,Moonshine,"San Francisco, CA, USA","Ganesh Pimpale, Harsha Gundala",APIs for video understanding,"Video Analysis, AI",https://usemoonshine.com/,https://youtu.be/oO332ljpqvs,
Fall,OpenClinic,"San Francisco, CA, USA","Nabil Belahouane, Hassan Mirza, Riyan Moussaoui, Usama Syed","Digital healthcare clinics that are 99% AI, 1% doctor","Healthcare, AI",https://tryopenclinic.com/,https://youtu.be/cUoLpodvLwE,
Fall,OpenFunnel,"San Francisco, CA, USA","Aditya Lahiri, Fenil Suchak",Personalised Agents for AI-First GTM Teams,"Marketing, AI, AI Assistant",https://openfunnel.dev/,https://youtu.be/n8QMtShty88,
Fall,Origami Agents,"San Francisco, CA, USA","Kenson Chung, Finn Mallery",Agents that find your perfect customers,"Customer Service, AI",https://origami-agents.com/,https://youtu.be/gTavVBPGkLU,
Fall,Pear AI,"San Francisco, CA, USA","Duke Pan, Nang Ang",VSCode For The New Age of AI,"Developer Tools, AI",https://trypear.ai/,https://youtu.be/UpxhRnKj5Ck,
Fall,Pearson Labs,"San Francisco, CA, USA","Stephanie Young, Qi Yang",AI agents to automate corporate transactions,"Fintech, Legaltech, AI",https://pearsonlabs.ai/,,
Fall,PermitPortal,"San Francisco, CA, USA","Alexandru Enache, Radu M.",AI Operating System for Pre-construction,"Construction, AI",https://permitportalapp.com/,https://youtu.be/lOYsVPDtKUA,
Fall,Platus,,"Felix Gerlach, Alexander Sporenberg","Instant Legal Infrastructure - Draft, Sign, Notarize & Process","Legaltech, Automation, AI",https://platus.com/,https://youtu.be/IlynObmr_sQ,
Fall,Praxis AI,"New York, NY, USA","Ransika Liyanage, Aditya Tewari",Manufacturing reasoning agents to predict and prevent machine failures,"Manufacturing, AI",https://praxis-tech.ai/,https://youtu.be/qJ41WG_X8pw,
Fall,Protegee,"San Francisco, CA, USA","Kirthi Banothu, Xiaoyu Li",Payments API for AI Voice Agents,"Fintech, AI",https://protegee.ai/,https://www.tella.tv/video/cm2hvf0iz000503l259wm2kir,
Fall,Raycaster,"San Francisco, CA, USA","Levi Lian, Anthony Humay",Research agent for scientific sales,"Sales, Biotech, AI",https://raycaster.ai/,https://youtu.be/krkDTHqBhMc,
Fall,Recase,,"Ayush Rodrigues, John Yeo",Build internal automation and run it from Slack,"Automation, AI",https://recaseai.com/,,
Fall,Regatta Storage,"San Francisco, CA, USA",Hunter Leath,"Transform S3 in an unlimited, local file system","Cloud Storage, Developer Tools, AI",https://regattastorage.com/,,
Fall,Relvy AI,,"Bharath Bhat, Simranjit Singh",Efficient AI for monitoring production software,"Developer Tools, AI",https://relvy.ai/,https://youtu.be/j_8wLDFMGNM,
Fall,Replexica,"San Francisco, CA, USA","Veronica Prilutskaya, Max Prilutskiy",Automated AI localization for dev teams,"Developer Tools, AI",https://replexica.com/,https://youtu.be/9hwzNfzlMFk,
Fall,Reticular,"San Francisco, CA, USA","Nithin Parsan, John Yang",Interpretable AI for drug discovery,"Healthcare, Drug Discovery, AI",https://reticular.ai/,http://demo.reticular.ai/,
Fall,Revi,"San Francisco, CA, USA","Max Nuyen, Benjamin McKinzey",AI-enabled M&A deal origination,"Fintech, AI",https://revi.ai/,https://youtu.be/mYW3zsotlag,
Fall,Revyl,"San Francisco, CA, USA","Landseer Enga, Anam Hira",Proactive observability,"Developer Tools, AI",https://revyl.ai/,https://youtu.be/Zy7yXTomh7M,
Fall,RiskCube,"San Francisco, CA, USA",Andrei Craciunescu,Digital insurance brokerage for property & casualty risks.,"Insurance, AI",https://riskcube.com/,https://youtu.be/fm7p6KYl7EQ,
Fall,Riveter AI,"San Francisco, CA, USA","Abigail Grills, Erica Clark",The copilot for corporate strategy,"Business Strategy, AI",https://riveterhq.com/,https://youtu.be/thmATCmTy5g,
Fall,Roundabout Technologies,"San Francisco, CA, USA","Sabeek Pradhan, Collin Barnwell",Software for AI-powered traffic lights,"Transportation, AI",https://roundabout.tech/,,
Fall,Rulebase,,"Gideon Ebose, Chidi Williams",AI agents for fraud detection and investigations.,"Fraud Detection, AI",https://rulebase.co/,https://youtu.be/Cwy7tySntyc,
Fall,Ryvn,"San Francisco, CA, USA","Albert Lam, Shardool Patel","Deploy, update, and monitor applications in customer clouds / on-prem","Cloud Computing, Developer Tools, AIOps",https://ryvn.ai/,https://youtu.be/1wTY1a0KKPU,
Fall,Sandra AI,"Paris, France","Badr El Idrissi Mokdad, Ismail Majjad, Skandere Sahli","Building AI employees for car dealers, starting with AI receptionists","Automotive, AI",https://sandra-ai.com/,https://youtu.be/USVY_NldBmY,
Fall,Scrapybara,"San Francisco, CA, USA","Nalin Semwal, Justin Sun",Virtual Desktops for AI Agents,"AI, Productivity, Developer Tools",https://scrapybara.com/,https://youtu.be/ZjPTAb5bg-w,
Fall,ShowAndTell,"San Francisco, CA, USA","Daniel Bessonov, Justin Zhou",Agents for dental operations,"Healthcare, AI",https://tryshowandtell.com/,https://youtu.be/2YC0PhBzYDw,
Fall,Sphinx,"San Francisco, CA, USA","Alexandre Berkovic, Chrisjan Wust",AI Compliance Analysts for Banks & Fintechs,"Compliance, Fintech, AI",https://sphinxlabs.ai/,https://youtu.be/b-pM89SGVJA,
Fall,SRE.ai,"San Francisco, CA, USA","Edward Aryee, Raj Kadiyala",Automated DevOps for Low-Code Platforms,"Developer Tools, AI",https://sre.ai/,https://youtu.be/fMyfVek8zAI,
Fall,StudyDojo,,"Bowen Liu, Janet Liu, Michael Tong",AI tutors for students.,"Education, AI",https://studydojo.com/,https://youtu.be/pSdzytBNJrA,
Fall,Summed AI,"Seattle, WA, USA","Kevin Bao, Tyler Rich, Sherril Wang",The AI Copilot for Insurance Agents,"Insurance, AI",https://summed.ai/,https://youtu.be/aogwdsTc0Bs,
Fall,Sunset,,"Kaela Worthen, Stephen Walter",Find and move money after a death,"Fintech, Estate Management",https://sunsetapp.com/,https://youtu.be/LiYhdOZJyMY,
Fall,supercontrast,"San Francisco, CA, USA","Shravan Kumaran, Carter McClellan",AI Co-Pilot for Design,"Design, AI",https://supercontrast.com/,,
Fall,Surge,"Lehi, UT, USA","Dennis Beatty, Brett Beatty",Stripe for telephony,"Telecommunications, SMS",https://surgemsg.com/,https://youtu.be/3cTyfiw5jtE,
Fall,Symphony,"New York, NY, USA","Murtaza Ali, Shobhit Srivastava",Voice AI sims for next-gen employee training,"HR, AI",https://getsymphony.co/,https://youtu.be/A6dJYCylNiY,
Fall,Synth,"San Francisco, CA, USA",Josh Purtell,We help AI agents learn from data.,"Infrastructure, AI",https://usesynth.ai/,https://youtu.be/DwC8iBLpWdU,
Fall,telli,"Berlin, Germany","Philipp Baumanns, Seb Hapte-Selassie, Finn zur Muehlen",outbound call automation for B2C companies,"Customer Service, AI",https://telli.com/en/,https://youtu.be/7xjIwZf37-M,
Fall,Tiny,"Singapore, Singapore","Louis de Valliere, Edward Zhang",A new kind of ERP system for factories,"ERP, Manufacturing",https://andtiny.com/,https://youtu.be/kmhj7bozMro,
Fall,Upshift,"Charlotte, NC, USA","Adam Suskin, Thomas Baker",Turn your software product into a platform.,"Developer Tools, AI",https://upshift.dev/,https://www.loom.com/share/67856e9942594d8da1343e2df26b2317?sid=cf84e15d-9acd-40c1-aa88-8129fa9f06ba,
Fall,Variant,"San Francisco, CA, USA","Ben South Lee, Daniel Bulhosa Solorzano",Building the state-of-the-art model for software design,"Developer Tools, AI",https://variant.ai/,,
Fall,Vespper,"Tel Aviv-Yafo, Tel Aviv District, Israel","Dudu Lasry, Topaz Turkenitz","AI agent that troubleshoots production alerts for software engineers,??¢Ò","Developer Tools, AI, AI Assistant",https://vespper.com/,https://youtu.be/uN888sOaIig,
Fall,vly.ai,"San Francisco, CA, USA","Victor Cheng, Manav Bokinala, Amir Farahani",Helping companies build full-stack software without developers,"Software Development, AI",https://vly.ai/,https://youtu.be/M4QcpDVFR2c,
Fall,Vocera,"San Francisco, CA, USA","Sidhant Kabra, Shashij Gupta, Tarush Agarwal",Testing & Observability for AI voice agents,"Developer Tools, AI",https://vocera.ai/,https://youtu.be/SZFmBSwOzAU,
Summer,&AI,"San Francisco, CA, USA","Caleb Harris, Herbert Turner",AI-driven patent due diligence platform.,"AI, LegalTech, IP",https://www.tryandai.com/,,founders@tryandai.com
Summer,1849 Bio,"San Francisco, CA, USA","Jai Padmakumar, Yongjin Park","Designs microbes enabling cheap metal extraction, allowing miners to unlock value from low-quality copper and gold ores.","AI, Biotechnology, Metal Extraction, Mining, Copper, Gold",https://www.1849.bio,,intro@1849.bio
Summer,Abel Police,"San Francisco, CA, USA",Daniel Francis,Converts police body camera footage into completed police reports.,"AI, Law Enforcement, Video Analysis, Reports",http://abelpolice.com,,
Summer,Actionbase,"San Francisco, CA, USA",Sam Crombie,Makes the internet interactable through an SDK for robotic process automation (RPA).,"AI, Automation, RPA",https://actionbase.co,,
Summer,ACX,"San Francisco, CA, USA","Emmanouela Petsolari, Melina Petsolari",Recreates bacterial compounds synthetically for applications like crop pathogen elimination.,"AI, Biotechnology, Agriculture, Pathogens",https://www.acxtherapeutics.com/,,emmanouela@acxtherapeutics.com
Summer,Affil.ai,"San Francisco, CA, USA","John Ta, Vivek Olumbe",Monitors affiliate content to help companies expand marketing efforts and maximize revenue.,"AI, Marketing, Affiliate Content, Revenue",https://affil.ai/,,founders@affil.ai
Summer,AI Sell,"San Francisco, CA, USA","Jerry Liu, Jeffrey Liu",AI sales associate designed for eCommerce platforms.,"AI, eCommerce, SalesTech",https://www.aisell.com,,jerry@aisell.com
Summer,AminoAnalytica,"San Francisco, CA, USA","Matteo Peluso, Abhi Rajendran, Adam Wu","AI-powered protein design company, optimizing biotech products like enzymes and peptides.","AI, Biotechnology, Protein Design, Research",https://www.aminoanalytica.com,,founders@aminoanalytica.app
Summer,Anglera,"San Francisco, CA, USA","Amay Aggarwal, Ray Iyer",AI-powered platform managing product data for e-commerce companies.,"AI, E-commerce, Product Data, Automation",https://www.anglera.com/,https://youtu.be/D3jKEOzbD-s,amay@anglera.com
Summer,?ngstr?m AI,"San Francisco, CA, USA","Javier Antoran, Jose Miguel Hernandez Lobato, Laurence Midgley",Uses GenAI for molecular simulations to replace wet lab experiments in drug development.,"AI, Drug Development, Molecular Simulations, GenAI",https://www.angstrom-ai.com/,https://youtu.be/EmTit8tC0TE,info@angstrom-ai.com
Summer,AnswerGrid,"San Francisco, CA, USA","Bolu Ben-Adeola, Noah Ohrner",AI-powered web research tool helping B2B companies identify relevant leads for outbound sales.,"AI, Lead Generation, B2B Sales, Research",https://answergrid.ai,https://www.loom.com/share/fe4e40fa000b4406910a9ce247079138?sid=8bc3b4fa-9128-4391-9491-882a9a5b5369,contact@answergrid.com
Summer,Anthrogen,"New York, NY, USA","Vignesh Karthik, Connor Lee, Ankit Singhal",Uses genetically modified bacteria to convert atmospheric carbon into cheap chemicals.,"Biotechnology, AI, ClimateTech, Chemistry",https://anthrogen.com,,founders@anthrogen.com
Summer,Apten,"San Francisco, CA, USA","Daniel Ho, Roshan Kumaraswamy",AI SMS agents customizable for businesses.,"AI, SMS, Customer Service, Agents",https://www.apten.ai/,https://youtu.be/iuMYEZ4jYHE,founders@apten.ai
Summer,Ares Industries,"El Segundo, CA, USA","Devan Plantamura, Alex Tseng","Developing anti-ship cruise missiles with smaller payloads and high subsonic speeds, compatible with existing launch platforms.","Defense, AI, Military, Missile Technology",https://aresindustries.com,,
Summer,Argil,"Paris, France","Brivael Le Pogam, Laodis Menard",Video generation engine for the creator economy.,"AI, Video Production, Creator Tools",https://argil.ai,https://youtu.be/q8xAigH8HbE,briva@argil.ai
Summer,Arva AI,"San Francisco, CA, USA","Rhim Shah, Oli Wales",AI agent streamlining bank onboarding by handling KYB reviews in real-time.,"AI, Finance, Onboarding, KYB",https://www.arva-ai.com,https://www.loom.com/share/d956b4139f6646649fe0d518caad3386?sid=3b47393f-3078-46b4-8e7a-2d1502a8e702,rhim@arva-ai.com
Summer,Assembly HOA,"Los Angeles, CA, USA","Shreyas Bharadwaj, Allen Liou",Tech-enabled homeowners association management firm.,"PropTech, HOA Management, SaaS",https://assemblyhoa.com,,founders@assemblyhoa.com
Summer,Asterisk,"San Francisco, CA, USA","Asjid Kalam, Vivek R, Mufeed VH","AI-powered tool to find, exploit, and patch security vulnerabilities autonomously.","AI, Cybersecurity, Automation",https://asterisk.so,,hello@asterisk.so
Summer,autarc,"San Francisco, CA, USA","Etienne-Noel Krause, Thies Hansen, Marius Seufzer",OS for HVAC installers to optimize heat pump installations using LiDAR and AI.,"CleanTech, HVAC, AI",https://www.autarc.energy/en,,founders@autarc.energy
Summer,AutoPallet Robotics,"San Francisco, CA, USA","Eric Miller, Nathan Yee",Deploys mobile robots in existing warehouses to automate case picking and improve operational efficiency.,"AI, Robotics, Warehouse Automation",https://autopallet.bot,,connect@autopallet.bot
Summer,Autumn Labs,"San Francisco, CA, USA","Harsh Bhatt, Sam Monga, Prathik Muppidi",Platform to monitor and manage industrial robots and test stations in real time.,"Robotics, Automation, Manufacturing",https://www.autumnlabs.io/,,founders@autumnlabs.io
Summer,Aviary,"San Francisco, CA, USA","Amy Xiao, Edward Zhou","AI-powered video search solution for organizing, analyzing, and moderating large video collections.","AI, Video Search, Moderation, Data Analysis",https://aviary.video,https://www.loom.com/share/22fcb3b2c68244919053dc94df28dfa7?sid=cbfdc171-fc5b-400d-9b45-525f11500048,hello@aviaryhq.com
Summer,Azalea Robotics Corporation,"Berkeley, CA, USA","David Millard, John B. Stroud",Automates airport baggage handling using robots.,"AI, Robotics, Airport, Automation",https://azalearobotics.com/,https://youtu.be/yFtXG44q05A,founders@azalearobotics.com
Summer,Baseline AI,"San Francisco, CA, USA","Zoe Sheill, Nabil Baugher",AI platform to automate clinical trial processes for pharmaceutical companies.,"HealthTech, Pharma, AI",https://www.baselinetrials.com/,,founders@baselinetrials.com
Summer,Bayesline,"New York, NY, USA","Sebastian Janisch, Misha van Beek","GPU-powered financial analytics suite for institutional investors, including hedge funds.","AI, Finance, Analytics, GPU",https://bayesline.com,,
Summer,BeeBettor,"San Francisco, CA, USA","Jordan Murphy, Matthew Wolfe",Simplifies sports betting research and placing bets in one platform.,"SportsTech, Betting, AI",https://beebettor.com,,founders@beebettor.com
Summer,Benchify,"San Francisco, CA, USA","Juan Casta?o, Max von Hippel",AI-powered code review tool that rigorously tests code using advanced engineering techniques.,"AI, Code Review, Developer Tools, Automation",https://www.benchify.com,,hello@benchify.com
Summer,Biocartesian,"San Francisco, CA, USA","Ian Dardani, Jess Li",Combines microscopy and new chemistries for better disease biology insights and therapeutic approaches.,"Biotech, AI, Healthcare",https://biocartesian.com,,interested@biocartesian.com
Summer,Blast,"San Francisco, CA, USA","Arnav Joshi, Daniel Zamoshchin",AI platform for building safe and compliant LLM apps.,"AI, DevTools, Compliance",https://blastsec.com,,founders@blastsec.com
Summer,Blaze,"Mexico City, CDMX, Mexico","Faiyam Rahman, Luc Succ?s, Igor Zagnienski",Global platform for cross-border payments.,"FinTech, Payments, Cross-Border",https://blaze.money,https://www.youtube.com/watch?v=50MMF87m3ZM,founders@blaze.money
Summer,Brighterway,N/A,"Walker Wells, Jason Apostol",AI platform to assist physicians in reviewing medical records for medlegal exams.,"HealthTech, AI, MedLegal",https://www.brighterway.ai/,,
Summer,Bucket Robotics,"Pittsburgh, PA, USA","Matt Puchalski, Steph Wolski",Defect detection for manufacturing using CAD and synthetic data.,"Manufacturing, Robotics, AI",https://bucket.bot,,matt@bucket.bot
Summer,Callback,"San Francisco, CA, USA","Alan Xie, Paulo Bautista","AI-native business process outsourcing for tasks like invoice processing, PDF parsing, and data labeling.","AI, BPO, Automation, Data Labeling",https://getcallback.ai,,founders@getcallback.ai
Summer,camfer,"San Francisco, CA, USA","Keaton Elvins, Roth Vann",AI mechanical engineer that collaborates with humans on 3D design tasks within CAD platforms.,"AI, Engineering, CAD, Collaboration",https://www.camfer.dev/,,
Summer,Capitol AI,"Washington, DC, USA","Shaun Modi, Thomas Hallaran",AI API/SDK automating research and content creation processes for enterprise clients.,"AI, Research, Content Creation, Enterprise",https://www.capitol.ai/,https://youtu.be/SFymrPfE-nk,contact@capitolai.com
Summer,CardLift,"Mountain View, CA, USA",Rithwik Pattikonda,Platform to help credit card issuers increase wallet share and optimize online purchases.,"AI, Finance, Credit Cards, E-commerce",https://withcardlift.com,https://cardvaultco.com/demo,
Summer,Cartage,"San Francisco, CA, USA","Abdul Basharat, Josh Lampen, Harman Sahota",Automation system for freight brokers and 3PLs to streamline repetitive tasks.,"Logistics, Automation, FreightTech",N/A,,
Summer,Central,"San Francisco, CA, USA","Josh Wymer, Pranav Kashyap, Nilay Modi","Streamlines administrative tasks like payroll, benefits, and government filings for founders.","AI, Payroll, Benefits, Administration",https://centralhq.com,https://d10fsmwl1qezvx.cloudfront.net//1719287776955/Bookface%20Demo.gif,subcentral@schools.nyc.gov
